Tue Apr 11 14:22:40 2023    ni-5106.profile

         80605181 function calls (77615993 primitive calls) in 205.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21272    0.053    0.000    0.127    0.000 loading.py:290(<listcomp>)
    63826    0.089    0.000    0.124    0.000 util.py:227(surface_selectables)
     7100    0.045    0.000    0.121    0.000 base.py:452(__init__)
     7092    0.035    0.000    0.121    0.000 globals.py:42(_lookup_app_object)
     7158    0.029    0.000    0.119    0.000 <string>:1(_adapt_all_clauses)
    63868    0.118    0.000    0.118    0.000 identity.py:161(get)
    49916    0.074    0.000    0.117    0.000 query.py:451(_clone)
    21273    0.098    0.000    0.116    0.000 selectable.py:1244(self_group)
   148905    0.114    0.000    0.114    0.000 annotation.py:97(__hash__)
    21282    0.095    0.000    0.113    0.000 annotation.py:52(__init__)
     7090    0.019    0.000    0.113    0.000 <string>:1(params)
   638271    0.113    0.000    0.113    0.000 elements.py:3962(apply_map)
     7166    0.015    0.000    0.112    0.000 path_registry.py:143(__add__)
    92293    0.111    0.000    0.111    0.000 {method 'difference' of 'set' objects}
    14179    0.073    0.000    0.111    0.000 base.py:389(_inspect_mapped_class)
   349709    0.109    0.000    0.109    0.000 {method 'decode' of 'bytes' objects}
    14174    0.098    0.000    0.108    0.000 relationships.py:1395(visit_bindparam)
   248563    0.105    0.000    0.105    0.000 cursors.py:198(_get_db)
    14174    0.074    0.000    0.103    0.000 session.py:2172(_contains_state)
    42595    0.094    0.000    0.103    0.000 query.py:3568(__init__)
   709130    0.103    0.000    0.103    0.000 {built-in method builtins.id}
    35454    0.095    0.000    0.102    0.000 schema.py:1465(get_children)
    35435    0.061    0.000    0.100    0.000 custom_template.py:19(<lambda>)
     7087    0.018    0.000    0.099    0.000 <string>:1(slice)
    70968    0.098    0.000    0.098    0.000 __init__.py:1530(getEffectiveLevel)
     7166    0.021    0.000    0.097    0.000 {built-in method _functools.reduce}
    35509    0.097    0.000    0.097    0.000 result.py:237(<listcomp>)
    14176    0.032    0.000    0.096    0.000 times.py:133(mysql_timestamp_converter)
    35509    0.094    0.000    0.094    0.000 {built-in method sqlalchemy.cutils._distill_params}
    63887    0.092    0.000    0.092    0.000 {method 'split' of 'str' objects}
    92176    0.078    0.000    0.091    0.000 {built-in method builtins.hash}
    49609    0.082    0.000    0.089    0.000 result.py:409(_colnames_from_description)
    49820    0.081    0.000    0.088    0.000 elements.py:208(_cloned_set)
     7087    0.046    0.000    0.086    0.000 helpers.py:63(fget)
    28843    0.066    0.000    0.085    0.000 langhelpers.py:805(expire_instance)
    28365    0.046    0.000    0.085    0.000 compiler.py:2945(format_alias)
    78101    0.083    0.000    0.083    0.000 {method 'encode' of 'str' objects}
     7087    0.038    0.000    0.081    0.000 compiler.py:737(visit_textclause)
    56706    0.081    0.000    0.081    0.000 state.py:385(dict)
    35515    0.074    0.000    0.080    0.000 compiler.py:1280(bindparam_string)
    14181    0.062    0.000    0.079    0.000 visitors.py:252(traverse_using)
     7087    0.022    0.000    0.078    0.000 contact.py:32(email)
     7087    0.036    0.000    0.077    0.000 base.py:359(_entity_descriptor)
     7100    0.051    0.000    0.076    0.000 _collections.py:253(__init__)
     7183    0.020    0.000    0.076    0.000 path_registry.py:145(<lambda>)
    21295    0.056    0.000    0.076    0.000 elements.py:4208(_expression_literal_as_text)
     7087    0.021    0.000    0.076    0.000 elements.py:1225(__init__)
    56963    0.060    0.000    0.075    0.000 type_api.py:1278(to_instance)
    99812    0.074    0.000    0.074    0.000 {method 'pop' of 'list' objects}
     7158    0.018    0.000    0.074    0.000 <string>:1(_with_invoke_all_eagers)
    56843    0.074    0.000    0.074    0.000 query.py:3650(_get_entity_clauses)
    77957    0.061    0.000    0.074    0.000 api_resource.py:901(is_visible)
     7099    0.046    0.000    0.071    0.000 local.py:163(top)
     7159    0.018    0.000    0.070    0.000 <string>:1(_with_current_path)
    35435    0.032    0.000    0.069    0.000 base64.py:51(b64encode)
    14695    0.049    0.000    0.068    0.000 base.py:566(__contains__)
    35509    0.055    0.000    0.067    0.000 default.py:791(_use_server_side_cursor)
    21272    0.058    0.000    0.067    0.000 result.py:663(_has_key)
    14207    0.058    0.000    0.066    0.000 registry.py:147(__init__)
    49653    0.046    0.000    0.062    0.000 selectable.py:602(embedded)
    14207    0.050    0.000    0.062    0.000 attr.py:167(_adjust_fn_spec)
     7157    0.037    0.000    0.061    0.000 loading.py:136(get_from_identity)
     7103    0.023    0.000    0.061    0.000 base.py:582(as_immutable)
    14174    0.049    0.000    0.060    0.000 util.py:987(has_identity)
    14207    0.046    0.000    0.060    0.000 schema.py:1817(_set_target_column)
    35509    0.059    0.000    0.059    0.000 session.py:252(_assert_active)
     7087    0.036    0.000    0.057    0.000 contact.py:101(company_id)
    42522    0.057    0.000    0.057    0.000 {method 'format' of 'str' objects}
    14182    0.052    0.000    0.057    0.000 strategies.py:1657(_create_scalar_loader)
    28429    0.043    0.000    0.057    0.000 base.py:896(get_select_precolumns)
     7101    0.030    0.000    0.056    0.000 instrumentation.py:346(new_instance)
    21283    0.040    0.000    0.055    0.000 annotation.py:38(__new__)
   120547    0.055    0.000    0.055    0.000 relationships.py:2890(__call__)
    28421    0.040    0.000    0.054    0.000 _collections.py:756(<listcomp>)
     7087    0.039    0.000    0.052    0.000 langhelpers.py:79(decode_slice)
     7088    0.029    0.000    0.052    0.000 query.py:344(_joinpoint_zero)
    14174    0.043    0.000    0.051    0.000 base.py:269(object_state)
    21272    0.044    0.000    0.050    0.000 strategies.py:1304(_gen_pooled_aliased_class)
    42547    0.050    0.000    0.050    0.000 mapper.py:2401(isa)
    14200    0.040    0.000    0.050    0.000 registry.py:51(_collection_gced)
     7090    0.034    0.000    0.049    0.000 _collections.py:807(has_intersection)
     7096    0.023    0.000    0.046    0.000 elements.py:1865(<listcomp>)
    42596    0.046    0.000    0.046    0.000 identity.py:54(check_modified)
14362/14288    0.036    0.000    0.045    0.000 elements.py:715(proxy_set)
    14176    0.045    0.000    0.045    0.000 collections.py:581(__init__)
    56711    0.044    0.000    0.044    0.000 loading.py:397(<listcomp>)
     7087    0.020    0.000    0.044    0.000 result.py:1053(_fetchone_impl)
    42600    0.044    0.000    0.044    0.000 mapper.py:1946(_with_polymorphic_mappers)
     7090    0.033    0.000    0.043    0.000 query.py:1481(params)
    14338    0.034    0.000    0.042    0.000 elements.py:3740(_from_objects)
    14256    0.023    0.000    0.041    0.000 query.py:263(_adapt_clause)
    35509    0.040    0.000    0.040    0.000 {method 'field_flags' of '_mysql.result' objects}
     7088    0.029    0.000    0.040    0.000 type_api.py:504(coerce_compared_value)
    70915    0.040    0.000    0.040    0.000 util.py:572(<lambda>)
    28424    0.039    0.000    0.039    0.000 {method 'acquire' of '_thread.lock' objects}
     7103    0.024    0.000    0.038    0.000 base.py:587(__init__)
     7087    0.009    0.000    0.037    0.000 base.py:790(should_autocommit_text)
    28660    0.037    0.000    0.037    0.000 result.py:1098(<listcomp>)
    35435    0.037    0.000    0.037    0.000 {built-in method binascii.b2a_base64}
    56790    0.036    0.000    0.036    0.000 mapper.py:2073(selectable)
    42798    0.035    0.000    0.035    0.000 attr.py:214(__call__)
     7156    0.015    0.000    0.035    0.000 connections.py:224(unicode_literal)
    56719    0.035    0.000    0.035    0.000 {method 'issuperset' of 'frozenset' objects}
    71018    0.035    0.000    0.035    0.000 cursors.py:124(_check_executed)
   198655    0.034    0.000    0.034    0.000 interfaces.py:632(setup_query)
    21272    0.020    0.000    0.034    0.000 selectable.py:1285(_copy_internals)
    21272    0.033    0.000    0.034    0.000 util.py:555(_memo)
    35435    0.033    0.000    0.033    0.000 re.py:286(_compile)
    28430    0.025    0.000    0.033    0.000 _collections.py:395(__iter__)
   156225    0.032    0.000    0.032    0.000 mapper.py:690(mapper)
    14418    0.030    0.000    0.032    0.000 _collections.py:332(__setitem__)
    28359    0.032    0.000    0.032    0.000 converters.py:58(Thing2Str)
    35519    0.031    0.000    0.031    0.000 _collections.py:725(__init__)
     7090    0.025    0.000    0.031    0.000 selectable.py:890(self_group)
    28396    0.024    0.000    0.030    0.000 visitors.py:309(<listcomp>)
    14174    0.030    0.000    0.030    0.000 identity.py:107(contains_state)
    14190    0.027    0.000    0.029    0.000 _collections.py:369(add)
     7090    0.027    0.000    0.029    0.000 strategies.py:1618(_create_collection_loader)
    14203    0.029    0.000    0.029    0.000 _collections.py:178(__init__)
     7087    0.020    0.000    0.029    0.000 contact.py:195(no_third_party)
    14207    0.025    0.000    0.029    0.000 registry.py:163(with_wrapper)
     7328    0.028    0.000    0.028    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    14184    0.017    0.000    0.028    0.000 base.py:208(manager_of_class)
     7087    0.027    0.000    0.027    0.000 helpers.py:254(__init__)
     7091    0.022    0.000    0.027    0.000 util.py:537(_entity_for_mapper)
   100257    0.026    0.000    0.026    0.000 {built-in method builtins.setattr}
     7099    0.021    0.000    0.026    0.000 local.py:70(__getattr__)
     7087    0.016    0.000    0.025    0.000 dbal_contact.py:112(email_address)
     7087    0.020    0.000    0.024    0.000 cursors.py:420(fetchone)
    28422    0.023    0.000    0.023    0.000 {built-in method builtins.next}
     7087    0.014    0.000    0.023    0.000 contact.py:132(salutation)
     7087    0.014    0.000    0.023    0.000 contact.py:247(membership_number)
     7087    0.015    0.000    0.022    0.000 contact.py:204(skype_name)
    71035    0.022    0.000    0.022    0.000 registry.py:242(_listen_fn)
     7101    0.021    0.000    0.021    0.000 state.py:77(__init__)
    14338    0.021    0.000    0.021    0.000 weakref.py:431(__contains__)
     7087    0.012    0.000    0.021    0.000 contact.py:231(is_admin)
        3    0.001    0.000    0.020    0.007 selectable.py:3447(_populate_column_collection)
    78139    0.020    0.000    0.020    0.000 {method 'values' of 'dict' objects}
     7087    0.013    0.000    0.019    0.000 contact.py:239(dont_mail)
    14178    0.014    0.000    0.019    0.000 sqltypes.py:2608(_resolve_value_to_type)
     7096    0.014    0.000    0.019    0.000 _collections.py:788(coerce_generator_arg)
    14207    0.017    0.000    0.019    0.000 registry.py:159(_key)
     7087    0.012    0.000    0.019    0.000 contact.py:223(is_tutor)
    21273    0.019    0.000    0.019    0.000 path_registry.py:91(<listcomp>)
        3    0.000    0.000    0.018    0.006 query.py:4088(setup_context)
    28362    0.018    0.000    0.018    0.000 elements.py:2965(get_children)
    14415    0.018    0.000    0.018    0.000 langhelpers.py:1247(set_creation_order)
        1    0.000    0.000    0.018    0.018 query.py:1034(from_self)
    14176    0.018    0.000    0.018    0.000 instrumentation.py:337(get_impl)
        5    0.000    0.000    0.018    0.004 query.py:303(replace)
        2    0.000    0.000    0.018    0.009 query.py:457(statement)
    35507    0.018    0.000    0.018    0.000 query.py:321(_query_entity_zero)
    21273    0.017    0.000    0.017    0.000 path_registry.py:99(contains)
    92245    0.017    0.000    0.017    0.000 selectable.py:237(selectable)
    28431    0.017    0.000    0.017    0.000 {method 'union' of 'set' objects}
    21270    0.017    0.000    0.017    0.000 query.py:416(_no_statement_condition)
    14183    0.017    0.000    0.017    0.000 query.py:424(_no_limit_offset)
    28424    0.016    0.000    0.016    0.000 query.py:4141(<genexpr>)
    14695    0.016    0.000    0.016    0.000 _collections.py:214(__contains__)
    14207    0.016    0.000    0.016    0.000 attr.py:46(_memoized_attr_ref)
    28364    0.015    0.000    0.015    0.000 relationships.py:2887(__init__)
    56961    0.015    0.000    0.015    0.000 {built-in method builtins.callable}
    14416    0.014    0.000    0.014    0.000 elements.py:196(_constructor)
    35509    0.014    0.000    0.014    0.000 result.py:790(_cursor_description)
    42624    0.014    0.000    0.014    0.000 selectable.py:1789(_from_objects)
    42596    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
   141844    0.014    0.000    0.014    0.000 {method 'append' of 'collections.deque' objects}
     7156    0.005    0.000    0.013    0.000 connections.py:28(_fast_surrogateescape)
     7156    0.013    0.000    0.013    0.000 {method 'string_literal' of '_mysql.connection' objects}
    35509    0.013    0.000    0.013    0.000 compiler.py:244(__str__)
    35509    0.013    0.000    0.013    0.000 {method 'insert_id' of '_mysql.connection' objects}
    77977    0.013    0.000    0.013    0.000 elements.py:320(_copy_internals)
    35509    0.013    0.000    0.013    0.000 _collections.py:156(union)
     7087    0.007    0.000    0.013    0.000 mysqldb.py:71(post_process_text)
     7087    0.011    0.000    0.013    0.000 type_api.py:1125(process)
     7087    0.011    0.000    0.013    0.000 blueprint.py:149(_put_object)
     7088    0.009    0.000    0.012    0.000 ctx.py:48(get)
     7087    0.005    0.000    0.012    0.000 strategies.py:1031(get)
    14207    0.012    0.000    0.012    0.000 attr.py:71(_adjust_fn_spec)
    49620    0.012    0.000    0.012    0.000 {method 'difference_update' of 'set' objects}
    21287    0.012    0.000    0.012    0.000 {method 'setdefault' of 'dict' objects}
    35509    0.011    0.000    0.011    0.000 {method 'affected_rows' of '_mysql.connection' objects}
    56730    0.011    0.000    0.011    0.000 selectable.py:1304(_from_objects)
     7087    0.011    0.000    0.011    0.000 query.py:2554(slice)
    14417    0.011    0.000    0.011    0.000 {method 'get' of 'mappingproxy' objects}
    14174    0.011    0.000    0.011    0.000 state.py:298(has_identity)
    14174    0.011    0.000    0.011    0.000 relationships.py:1416(_get_attr_w_warn_on_none)
    28365    0.010    0.000    0.010    0.000 compiler.py:1415(get_render_as_alias_suffix)
     7100    0.010    0.000    0.010    0.000 _collections.py:271(__init__)
     7093    0.010    0.000    0.010    0.000 selectable.py:2803(<listcomp>)
     7090    0.010    0.000    0.010    0.000 _collections.py:816(<listcomp>)
    35509    0.010    0.000    0.010    0.000 {method 'warning_count' of '_mysql.connection' objects}
    14179    0.009    0.000    0.009    0.000 instrumentation.py:94(is_mapped)
    21272    0.009    0.000    0.009    0.000 result.py:570(_has_key)
    28424    0.009    0.000    0.009    0.000 {method 'release' of '_thread.lock' objects}
    42533    0.009    0.000    0.009    0.000 base.py:32(_clone)
    49610    0.009    0.000    0.009    0.000 api_resource.py:321(hook_post_serialise)
    35509    0.009    0.000    0.009    0.000 default.py:829(post_exec)
    49610    0.009    0.000    0.009    0.000 api_resource.py:317(hook_pre_serialise)
        1    0.000    0.000    0.009    0.009 helpers.py:177(make_response)
        1    0.000    0.000    0.009    0.009 app.py:2029(make_response)
        1    0.000    0.000    0.009    0.009 base_response.py:173(__init__)
        1    0.000    0.000    0.009    0.009 base_response.py:343(set_data)
     7157    0.009    0.000    0.009    0.000 mapper.py:2482(identity_key_from_primary_key)
    35509    0.008    0.000    0.008    0.000 default.py:826(pre_exec)
     7092    0.008    0.000    0.008    0.000 relationships.py:944(_source_selectable)
    70913    0.008    0.000    0.008    0.000 {method 'popleft' of 'collections.deque' objects}
    14174    0.008    0.000    0.008    0.000 base.py:293(_inspect_mapped_object)
    42546    0.008    0.000    0.008    0.000 elements.py:333(get_children)
    14995    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
     7087    0.006    0.000    0.007    0.000 default.py:735(no_parameters)
    14187    0.007    0.000    0.007    0.000 {method 'extend' of 'list' objects}
  131/129    0.001    0.000    0.007    0.000 type_api.py:475(_dialect_info)
     7487    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
     7087    0.006    0.000    0.006    0.000 langhelpers.py:1013(asint)
        1    0.000    0.000    0.006    0.006 strategies.py:1036(_load)
    14207    0.006    0.000    0.006    0.000 base.py:112(_listen)
     7090    0.006    0.000    0.006    0.000 selectable.py:1608(__init__)
     7087    0.006    0.000    0.006    0.000 loading.py:608(_decorate_polymorphic_switch)
     7087    0.006    0.000    0.006    0.000 state.py:293(mapper)
    21274    0.005    0.000    0.005    0.000 elements.py:347(self_group)
     7090    0.005    0.000    0.005    0.000 {method 'intersection' of 'frozenset' objects}
     7158    0.005    0.000    0.005    0.000 query.py:954(_with_invoke_all_eagers)
    14183    0.005    0.000    0.005    0.000 elements.py:1811(get_children)
     7099    0.005    0.000    0.005    0.000 {built-in method _thread.get_ident}
    200/1    0.002    0.000    0.005    0.005 abc.py:196(__subclasscheck__)
   469/24    0.001    0.000    0.005    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.005    0.002 strategies.py:738(setup_query)
     7087    0.004    0.000    0.004    0.000 state.py:419(get_impl)
     7101    0.004    0.000    0.004    0.000 identity.py:156(_add_unpresent)
     7159    0.004    0.000    0.004    0.000 query.py:690(_with_current_path)
      237    0.001    0.000    0.004    0.000 compiler.py:2891(_requires_quotes)
        1    0.004    0.004    0.004    0.004 blueprint.py:182(<listcomp>)
     7158    0.004    0.000    0.004    0.000 query.py:259(_adapt_all_clauses)
      116    0.000    0.000    0.004    0.000 type_api.py:494(adapt)
    14174    0.003    0.000    0.003    0.000 dynamic.py:237(<lambda>)
      116    0.001    0.000    0.003    0.000 langhelpers.py:1034(constructor_copy)
   250/66    0.000    0.000    0.003    0.000 typing.py:1145(__subclasscheck__)
       31    0.000    0.000    0.003    0.000 util.py:743(_locate_col)
    14186    0.003    0.000    0.003    0.000 base.py:893(visit_false)
     7101    0.003    0.000    0.003    0.000 <string>:1(set)
     7087    0.003    0.000    0.003    0.000 strategies.py:1095(<listcomp>)
     7087    0.003    0.000    0.003    0.000 compiler.py:782(visit_null)
      132    0.000    0.000    0.003    0.000 elements.py:3762(_label)
      132    0.001    0.000    0.003    0.000 elements.py:3770(_gen_label)
     7095    0.002    0.000    0.002    0.000 langhelpers.py:845(<lambda>)
     7093    0.002    0.000    0.002    0.000 interfaces.py:642(create_row_processor)
     7093    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 elements.py:3565(_copy_internals)
        1    0.000    0.000    0.002    0.002 strategies.py:947(_apply_joins)
        1    0.000    0.000    0.002    0.002 query.py:1745(join)
      119    0.000    0.000    0.002    0.000 type_api.py:491(_gen_dialect_impl)
        1    0.000    0.000    0.002    0.002 <string>:1(_join)
        1    0.000    0.000    0.002    0.002 query.py:2041(_join)
     7158    0.002    0.000    0.002    0.000 path_registry.py:259(__bool__)
    17/16    0.000    0.000    0.002    0.000 typing.py:875(__extrahook__)
        8    0.000    0.000    0.002    0.000 compiler.py:974(visit_unary)
        1    0.000    0.000    0.002    0.002 query.py:2156(_join_left_to_right)
        1    0.000    0.000    0.002    0.002 query.py:2314(_join_to_left)
      121    0.000    0.000    0.001    0.000 default.py:357(type_descriptor)
  238/116    0.001    0.000    0.001    0.000 langhelpers.py:232(get_cls_kwargs)
        1    0.000    0.000    0.001    0.001 util.py:897(join)
        2    0.000    0.000    0.001    0.001 compiler.py:1065(_generate_generic_unary_operator)
      217    0.001    0.000    0.001    0.000 langhelpers.py:843(oneshot)
     7087    0.001    0.000    0.001    0.000 __init__.py:35(process_result_value)
     7089    0.001    0.000    0.001    0.000 state.py:289(_pending_mutations)
        3    0.000    0.000    0.001    0.000 hybrid.py:800(expr)
       10    0.001    0.000    0.001    0.000 util.py:690(__init__)
        1    0.000    0.000    0.001    0.001 strategies.py:843(_generate_from_original_query)
        3    0.000    0.000    0.001    0.000 hybrid.py:777(_expr)
      121    0.000    0.000    0.001    0.000 type_api.py:1288(adapt_type)
        5    0.000    0.000    0.001    0.000 util.py:352(__init__)
        1    0.000    0.000    0.001    0.001 api_resource.py:480(add_should_be_hidden_filter_to_query)
       12    0.001    0.000    0.001    0.000 mapper.py:2101(_polymorphic_properties)
      158    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        5    0.000    0.000    0.001    0.000 util.py:460(__init__)
        1    0.000    0.000    0.001    0.001 functions.py:176(_copy_internals)
      275    0.000    0.000    0.001    0.000 elements.py:4074(_as_truncated)
       68    0.000    0.000    0.001    0.000 query.py:381(_get_condition)
        2    0.000    0.000    0.001    0.000 contact.py:63(is_deleted)
        1    0.000    0.000    0.001    0.001 selectable.py:1266(is_derived_from)
      132    0.001    0.000    0.001    0.000 times.py:115(Date_or_None)
        3    0.000    0.000    0.001    0.000 compiler.py:1895(order_by_clause)
        1    0.000    0.000    0.001    0.001 selectable.py:2960(is_derived_from)
      199    0.000    0.000    0.001    0.000 compiler.py:2880(quote_identifier)
        1    0.000    0.000    0.001    0.001 langhelpers.py:787(oneshot)
        1    0.000    0.000    0.001    0.001 selectable.py:2925(locate_all_froms)
        1    0.000    0.000    0.001    0.001 json.py:94(get_json)
        4    0.000    0.000    0.001    0.000 strategies.py:444(_memoized_attr__simple_lazy_clause)
       71    0.000    0.000    0.001    0.000 query.py:400(_no_criterion_condition)
      7/3    0.000    0.000    0.001    0.000 compiler.py:898(visit_function)
        3    0.000    0.000    0.001    0.000 api_resource.py:866(walk_to_entity)
        1    0.000    0.000    0.001    0.001 api_resource.py:395(_add_order_by_joins_to_query)
        1    0.000    0.000    0.001    0.001 query.py:476(subquery)
      7/3    0.000    0.000    0.001    0.000 compiler.py:921(function_argspec)
        3    0.000    0.000    0.001    0.000 query.py:3932(__init__)
        4    0.000    0.000    0.001    0.000 functions.py:305(__call__)
        1    0.000    0.000    0.001    0.001 api_resource.py:327(_add_find_filters_to_query)
        4    0.000    0.000    0.001    0.000 util.py:285(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:226(loads)
        3    0.000    0.000    0.001    0.000 sqltypes.py:1411(adapt)
        1    0.000    0.000    0.000    0.000 dbal_contact.py:150(name)
        1    0.000    0.000    0.000    0.000 elements.py:3051(_copy_internals)
       11    0.000    0.000    0.000    0.000 attributes.py:145(__clause_element__)
        7    0.000    0.000    0.000    0.000 properties.py:245(_memoized_method___clause_element__)
        3    0.000    0.000    0.000    0.000 enumerated.py:63(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:131(_load_arg_defaults)
      8/4    0.000    0.000    0.000    0.000 operators.py:42(__and__)
        1    0.000    0.000    0.000    0.000 strategies.py:1038(<genexpr>)
        3    0.000    0.000    0.000    0.000 functions.py:422(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(order_by)
        6    0.000    0.000    0.000    0.000 base.py:40(_generative)
        3    0.000    0.000    0.000    0.000 query.py:251(_adapt_col_list)
       32    0.000    0.000    0.000    0.000 elements.py:4051(__add__)
        3    0.000    0.000    0.000    0.000 functions.py:56(__init__)
        3    0.000    0.000    0.000    0.000 query.py:253(<listcomp>)
        2    0.000    0.000    0.000    0.000 query.py:1565(order_by)
        3    0.000    0.000    0.000    0.000 sqltypes.py:1208(__init__)
        3    0.000    0.000    0.000    0.000 elements.py:4184(_literal_as_label_reference)
        1    0.000    0.000    0.000    0.000 strategies.py:992(_setup_options)
      133    0.000    0.000    0.000    0.000 elements.py:3766(_render_label_in_columns_clause)
      110    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 query.py:1326(_conditional_options)
        5    0.000    0.000    0.000    0.000 query.py:188(_set_select_from)
        1    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
      183    0.000    0.000    0.000    0.000 mapper.py:2106(_iterate_polymorphic_properties)
        1    0.000    0.000    0.000    0.000 <string>:1(_options)
      199    0.000    0.000    0.000    0.000 mysqldb.py:77(_escape_identifier)
      210    0.000    0.000    0.000    0.000 elements.py:3929(_memoized_method_lower)
       24    0.000    0.000    0.000    0.000 _collections.py:316(values)
        7    0.000    0.000    0.000    0.000 elements.py:1775(__init__)
      535    0.000    0.000    0.000    0.000 langhelpers.py:1043(<genexpr>)
        1    0.000    0.000    0.000    0.000 util.py:530(_adapt_element)
       16    0.000    0.000    0.000    0.000 elements.py:4114(_cloned_intersection)
        2    0.000    0.000    0.000    0.000 <string>:1(where)
        4    0.000    0.000    0.000    0.000 {built-in method _operator.and_}
        2    0.000    0.000    0.000    0.000 _collections.py:934(lightweight_named_tuple)
        1    0.000    0.000    0.000    0.000 <string>:1(_from_selectable)
        2    0.000    0.000    0.000    0.000 type_api.py:1096(result_processor)
        1    0.000    0.000    0.000    0.000 util.py:737(traverse)
       26    0.000    0.000    0.000    0.000 elements.py:663(comparator)
      238    0.000    0.000    0.000    0.000 result.py:168(keys)
        6    0.000    0.000    0.000    0.000 selectable.py:2797(<genexpr>)
        7    0.000    0.000    0.000    0.000 elements.py:1784(<listcomp>)
        3    0.000    0.000    0.000    0.000 enumerated.py:129(_setup_for_values)
        8    0.000    0.000    0.000    0.000 elements.py:4268(_literal_as_binds)
        2    0.000    0.000    0.000    0.000 selectable.py:3150(where)
        3    0.000    0.000    0.000    0.000 functions.py:59(<listcomp>)
        2    0.000    0.000    0.000    0.000 selectable.py:3376(append_whereclause)
        4    0.000    0.000    0.000    0.000 default_comparator.py:97(_conjunction_operate)
        3    0.000    0.000    0.000    0.000 selectable.py:2809(<listcomp>)
        1    0.000    0.000    0.000    0.000 hybrid.py:845(operate)
       12    0.000    0.000    0.000    0.000 mapper.py:1559(_prop_set)
        1    0.000    0.000    0.000    0.000 <string>:1(add_columns)
       24    0.000    0.000    0.000    0.000 _collections.py:317(<listcomp>)
      105    0.000    0.000    0.000    0.000 langhelpers.py:273(inspect_func_args)
       12    0.000    0.000    0.000    0.000 mapper.py:1871(iterate_properties)
        3    0.000    0.000    0.000    0.000 <string>:1(select_from)
        4    0.000    0.000    0.000    0.000 selectable.py:552(_is_lexical_equivalent)
       71    0.000    0.000    0.000    0.000 query.py:388(_no_criterion_assertion)
        2    0.000    0.000    0.000    0.000 type_api.py:832(_gen_dialect_impl)
      110    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 query.py:1216(_from_selectable)
       68    0.000    0.000    0.000    0.000 loading.py:200(<listcomp>)
        1    0.000    0.000    0.000    0.000 query.py:1287(add_columns)
        4    0.000    0.000    0.000    0.000 <string>:1(correlate)
        4    0.000    0.000    0.000    0.000 util.py:384(__getattr__)
        9    0.000    0.000    0.000    0.000 elements.py:3576(_from_objects)
      171    0.000    0.000    0.000    0.000 interfaces.py:470(_memoized_attr__wildcard_token)
        1    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        3    0.000    0.000    0.000    0.000 sqltypes.py:1324(_setup_for_values)
        2    0.000    0.000    0.000    0.000 <string>:1(or_)
      161    0.000    0.000    0.000    0.000 path_registry.py:162(__getitem__)
        2    0.000    0.000    0.000    0.000 elements.py:1935(or_)
       17    0.000    0.000    0.000    0.000 mapper.py:935(_path_registry)
        7    0.000    0.000    0.000    0.000 elements.py:4362(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
      171    0.000    0.000    0.000    0.000 interfaces.py:474(_memoized_attr__default_path_loader_key)
      110    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        6    0.000    0.000    0.000    0.000 compiler.py:999(visit_istrue_unary_operator)
        2    0.000    0.000    0.000    0.000 selectable.py:2833(<listcomp>)
      119    0.000    0.000    0.000    0.000 type_api.py:306(_has_column_expression)
        1    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        4    0.000    0.000    0.000    0.000 attributes.py:154(adapt_to_entity)
        6    0.000    0.000    0.000    0.000 instrumentation.py:210(_state_constructor)
        2    0.000    0.000    0.000    0.000 type_api.py:433(dialect_impl)
        1    0.000    0.000    0.000    0.000 strategies.py:1049(create_row_processor)
        3    0.000    0.000    0.000    0.000 query.py:2376(select_from)
      127    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.000    0.000 strategies.py:900(_prep_for_joins)
        1    0.000    0.000    0.000    0.000 api_resource.py:429(_parse_pagination_and_partial_load_args)
        1    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        3    0.000    0.000    0.000    0.000 datastructures.py:1247(__setitem__)
