Tue Apr 11 14:22:40 2023    ni-5106.profile

         80605181 function calls (77615993 primitive calls) in 205.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28429    0.419    0.000    4.621    0.000 compiler.py:1785(_setup_select_stack)
     7097    0.079    0.000    4.583    0.001 selectable.py:1271(_populate_column_collection)
    14415    0.392    0.000    4.512    0.000 schema.py:1420(_make_proxy)
     7087    0.104    0.000    4.488    0.001 session.py:1031(execute)
   751649    1.273    0.000    4.351    0.000 result.py:655(_getter)
85156/85153    0.493    0.000    4.348    0.000 compiler.py:1015(visit_binary)
    28427    0.297    0.000    4.127    0.000 selectable.py:3419(_columns_plus_names)
    28429    0.294    0.000    3.718    0.000 selectable.py:2776(_get_display_froms)
   978691    2.545    0.000    3.713    0.000 compiler.py:1255(_truncated_identifier)
28429/28424    0.128    0.000    3.644    0.000 compiler.py:1825(<listcomp>)
   794171    1.515    0.000    3.596    0.000 default.py:832(get_result_processor)
85156/85153    0.644    0.000    3.588    0.000 compiler.py:1049(_generate_generic_binary)
    14174    0.093    0.000    3.461    0.000 relationships.py:1361(_with_parent)
    14174    0.159    0.000    3.368    0.000 relationships.py:1366(_optimized_compare)
    42595    0.190    0.000    3.340    0.000 query.py:112(__init__)
28366/7093    0.254    0.000    3.221    0.000 base.py:913(visit_join)
    14178    0.068    0.000    3.210    0.000 visitors.py:280(cloned_traverse)
    42597    0.610    0.000    3.147    0.000 query.py:141(_set_entities)
127590/14178    1.021    0.000    3.139    0.000 visitors.py:287(clone)
   751649    3.040    0.000    3.078    0.000 result.py:576(_getter)
    14415    0.395    0.000    3.061    0.000 schema.py:898(__init__)
127785/120671    0.279    0.000    2.998    0.000 {method 'join' of 'str' objects}
  2588662    2.226    0.000    2.949    0.000 compiler.py:2910(quote)
28379/21277    0.080    0.000    2.940    0.000 compiler.py:797(visit_clauselist)
    42538    0.226    0.000    2.937    0.000 annotation.py:100(__eq__)
99262/42539    0.348    0.000    2.878    0.000 operators.py:297(__eq__)
8208087/8207750    2.413    0.000    2.856    0.000 {built-in method builtins.isinstance}
85135/63827    0.168    0.000    2.753    0.000 compiler.py:804(<genexpr>)
92170/77986    0.169    0.000    2.669    0.000 {built-in method _operator.eq}
85135/63827    0.145    0.000    2.624    0.000 compiler.py:806(<genexpr>)
    42543    0.060    0.000    2.561    0.000 elements.py:685(operate)
    28420    0.079    0.000    2.470    0.000 loading.py:75(<listcomp>)
    28430    1.150    0.000    2.453    0.000 selectable.py:2749(_froms)
99221/92134    0.340    0.000    2.410    0.000 hybrid.py:744(__get__)
56711/21274    0.600    0.000    2.392    0.000 loading.py:381(_instance)
    14415    0.055    0.000    2.365    0.000 schema.py:74(_init_items)
    14207    0.209    0.000    2.310    0.000 base.py:429(_set_parent_with_dispatch)
   751719    1.457    0.000    2.290    0.000 strategies.py:153(setup_query)
    28421    0.105    0.000    2.227    0.000 session.py:1379(query)
    42533    0.539    0.000    2.176    0.000 mapper.py:2561(_get_state_attr_by_column)
   134699    1.179    0.000    2.094    0.000 elements.py:174(_clone)
   794171    1.511    0.000    2.081    0.000 type_api.py:462(_cached_result_processor)
    42543    0.368    0.000    2.038    0.000 type_api.py:60(operate)
    28425    1.086    0.000    2.007    0.000 selectable.py:3436(<listcomp>)
   127801    0.297    0.000    1.975    0.000 path_registry.py:269(__missing__)
   751722    1.161    0.000    1.970    0.000 compiler.py:2942(format_label)
398490/398472    0.657    0.000    1.888    0.000 {built-in method builtins.hasattr}
    35509    0.177    0.000    1.848    0.000 default.py:593(<listcomp>)
    92386    0.242    0.000    1.791    0.000 base.py:36(_from_objects)
    28422    1.788    0.000    1.788    0.000 result.py:287(<listcomp>)
    14207    0.055    0.000    1.785    0.000 schema.py:1877(_set_parent)
  3191384    1.601    0.000    1.781    0.000 elements.py:4103(<listcomp>)
    14207    0.073    0.000    1.727    0.000 schema.py:1378(_on_table_attach)
   127801    0.954    0.000    1.678    0.000 path_registry.py:190(__init__)
    35509    0.155    0.000    1.671    0.000 compiler.py:507(construct_params)
    42539    0.478    0.000    1.670    0.000 default_comparator.py:22(_boolean_compare)
    14207    0.095    0.000    1.648    0.000 api.py:31(listen)
     7087    0.073    0.000    1.634    0.000 query.py:1536(filter_by)
   212763    0.660    0.000    1.597    0.000 base.py:579(contains_column)
    92386    0.593    0.000    1.549    0.000 base.py:37(<listcomp>)
    14174    0.059    0.000    1.516    0.000 elements.py:1114(effective_value)
    14174    0.077    0.000    1.458    0.000 relationships.py:1417(_go)
    28422    0.195    0.000    1.372    0.000 query.py:2881(_get_bind_args)
    63784    0.139    0.000    1.368    0.000 api_resource.py:471(should_be_hidden)
    28427    0.102    0.000    1.363    0.000 elements.py:4106(_select_iterables)
    35509    0.151    0.000    1.354    0.000 cursors.py:416(_post_get_result)
    28422    0.285    0.000    1.345    0.000 result.py:1101(fetchall)
    35509    0.362    0.000    1.310    0.000 cursors.py:182(_do_get_result)
   382885    0.949    0.000    1.299    0.000 util.py:715(__getitem__)
    28427    1.067    0.000    1.261    0.000 elements.py:4111(<listcomp>)
    42598    0.473    0.000    1.255    0.000 query.py:152(_set_entity_selectables)
    85274    0.285    0.000    1.255    0.000 _collections.py:748(unique_list)
    35509    0.040    0.000    1.204    0.000 cursors.py:382(_fetch_row)
    14207    0.194    0.000    1.190    0.000 registry.py:187(listen)
    35509    0.719    0.000    1.164    0.000 {method 'fetch_row' of '_mysql.result' objects}
    35515    0.299    0.000    1.138    0.000 compiler.py:1173(visit_bindparam)
     7087    0.067    0.000    1.058    0.000 query.py:1561(<listcomp>)
    28429    0.181    0.000    0.960    0.000 selectable.py:2789(<listcomp>)
7101/7100    0.215    0.000    0.957    0.000 loading.py:505(_populate_full)
   440109    0.805    0.000    0.956    0.000 inspection.py:38(inspect)
     7087    0.023    0.000    0.942    0.000 default.py:889(_setup_crud_result_proxy)
   177331    0.454    0.000    0.937    0.000 elements.py:4065(apply_map)
    71025    0.179    0.000    0.924    0.000 _collections.py:795(to_list)
   751794    0.845    0.000    0.921    0.000 selectable.py:3424(name_for_col)
    56853    0.453    0.000    0.916    0.000 _collections.py:752(<listcomp>)
    57045    0.232    0.000    0.915    0.000 base.py:285(__get__)
    14174    0.078    0.000    0.898    0.000 dynamic.py:266(_clone)
  4035424    0.867    0.000    0.867    0.000 {method 'intersection' of 'set' objects}
    14174    0.093    0.000    0.866    0.000 contact.py:55(is_deleted)
7105/7098    0.024    0.000    0.863    0.000 compiler.py:575(visit_grouping)
    35526    0.221    0.000    0.856    0.000 _collections.py:360(__init__)
     7092    0.021    0.000    0.837    0.000 attributes.py:174(operate)
    49847    0.402    0.000    0.835    0.000 base.py:196(generate)
    14207    0.037    0.000    0.833    0.000 base.py:237(_listen)
    35509    0.270    0.000    0.830    0.000 default.py:815(create_cursor)
    70968    0.325    0.000    0.813    0.000 path_registry.py:62(set)
    28422    0.130    0.000    0.810    0.000 query.py:2866(_connection_from_session)
    14207    0.107    0.000    0.796    0.000 registry.py:227(base_listen)
   900950    0.788    0.000    0.788    0.000 weakref.py:393(__getitem__)
    35509    0.154    0.000    0.781    0.000 result.py:795(_soft_close)
    70870    0.425    0.000    0.774    0.000 helpers.py:432(__getitem__)
     7091    0.031    0.000    0.772    0.000 properties.py:269(operate)
    28364    0.251    0.000    0.768    0.000 selectable.py:785(__init__)
    35515    0.141    0.000    0.759    0.000 compiler.py:1242(_truncate_bindparam)
   177358    0.445    0.000    0.757    0.000 path_registry.py:234(__getitem__)
    35509    0.193    0.000    0.754    0.000 compiler.py:490(_bind_processors)
    42539    0.506    0.000    0.744    0.000 elements.py:2927(__init__)
    21272    0.369    0.000    0.731    0.000 strategies.py:1329(_generate_row_adapter)
    14174    0.246    0.000    0.725    0.000 dynamic.py:228(session)
    14181    0.054    0.000    0.720    0.000 elements.py:4147(_find_columns)
     7090    0.058    0.000    0.717    0.000 strategies.py:467(_generate_lazy_clause)
   269406    0.489    0.000    0.713    0.000 langhelpers.py:770(_reset)
    28365    0.285    0.000    0.692    0.000 compiler.py:1375(visit_alias)
    57045    0.165    0.000    0.683    0.000 base.py:108(_for_instance)
    28422    0.237    0.000    0.680    0.000 session.py:948(connection)
    71018    0.361    0.000    0.674    0.000 cursors.py:162(nextset)
    35509    0.671    0.000    0.671    0.000 result.py:241(<listcomp>)
    14181    0.082    0.000    0.666    0.000 visitors.py:264(traverse)
    42595    0.417    0.000    0.657    0.000 query.py:3580(setup_entity)
    35509    0.105    0.000    0.627    0.000 base.py:1271(_safe_close_cursor)
   751719    0.624    0.000    0.624    0.000 compiler.py:300(__init__)
   858393    0.623    0.000    0.623    0.000 {method 'update' of 'dict' objects}
   432309    0.253    0.000    0.618    0.000 api_resource.py:809(is_visible)
    92247    0.366    0.000    0.617    0.000 selectable.py:35(_interpret_as_from)
     7087    0.172    0.000    0.616    0.000 result.py:399(<listcomp>)
    14174    0.135    0.000    0.604    0.000 mappers.py:4(map_personal_name_fields_to_full_name)
49639/21273    0.305    0.000    0.604    0.000 selectable.py:1202(_from_objects)
    14176    0.135    0.000    0.592    0.000 attributes.py:1090(set_committed_value)
    42598    0.205    0.000    0.578    0.000 query.py:3547(__new__)
    21272    0.138    0.000    0.576    0.000 strategies.py:1555(_create_eager_adapter)
    35435    0.236    0.000    0.563    0.000 custom_mapping.py:29(table_column)
    35509    0.404    0.000    0.562    0.000 cursors.py:128(_warning_check)
    35515    0.169    0.000    0.561    0.000 compiler.py:493(<genexpr>)
   751649    0.436    0.000    0.544    0.000 compiler.py:1418(_add_to_result_map)
    21273    0.126    0.000    0.538    0.000 annotation.py:163(_shallow_annotate)
    35509    0.136    0.000    0.521    0.000 cursors.py:79(close)
    35509    0.106    0.000    0.519    0.000 cursors.py:408(_get_result)
    57045    0.199    0.000    0.518    0.000 base.py:105(_for_class)
     7087    0.056    0.000    0.514    0.000 dbal_contact.py:146(name)
    14178    0.171    0.000    0.508    0.000 elements.py:1129(_clone)
    14181    0.351    0.000    0.505    0.000 visitors.py:210(iterate)
    14180    0.046    0.000    0.505    0.000 <string>:1(filter)
    35509    0.184    0.000    0.493    0.000 pool.py:921(cursor)
    70968    0.175    0.000    0.488    0.000 __init__.py:1286(debug)
    63916    0.181    0.000    0.486    0.000 _collections.py:728(__missing__)
    21263    0.374    0.000    0.479    0.000 strategies.py:1658(load_scalar_from_joined_new_row)
    14207    0.039    0.000    0.458    0.000 attr.py:326(append)
  3489801    0.449    0.000    0.449    0.000 {method 'append' of 'list' objects}
     7093    0.023    0.000    0.447    0.000 selectable.py:1197(_hide_froms)
    71025    0.299    0.000    0.443    0.000 abc.py:180(__instancecheck__)
     7093    0.018    0.000    0.423    0.000 selectable.py:1199(<listcomp>)
    49620    0.214    0.000    0.423    0.000 state.py:677(_commit)
    21269    0.165    0.000    0.421    0.000 strategies.py:559(_get_ident_for_use_get)
    14207    0.064    0.000    0.419    0.000 registry.py:246(append_to_list)
35466/28367    0.148    0.000    0.418    0.000 elements.py:1814(_from_objects)
    14174    0.190    0.000    0.415    0.000 loading.py:554(_populate_partial)
    21272    0.127    0.000    0.410    0.000 mapper.py:2454(_result_has_identity_key)
    35515    0.129    0.000    0.406    0.000 connections.py:302(literal)
    35509    0.402    0.000    0.402    0.000 {method 'store_result' of '_mysql.connection' objects}
   765905    0.243    0.000    0.400    0.000 elements.py:4282(_interpret_as_column_or_from)
    42537    0.083    0.000    0.393    0.000 default_comparator.py:292(_check_literal)
    71024    0.155    0.000    0.392    0.000 compiler.py:494(<genexpr>)
    21282    0.126    0.000    0.390    0.000 elements.py:230(_annotate)
    14415    0.089    0.000    0.386    0.000 schema.py:1430(<listcomp>)
    28422    0.132    0.000    0.379    0.000 session.py:1415(_autoflush)
    63941    0.131    0.000    0.377    0.000 selectable.py:2708(<genexpr>)
    42596    0.129    0.000    0.368    0.000 session.py:2175(flush)
    28422    0.212    0.000    0.367    0.000 query.py:350(_bind_mapper)
    14207    0.107    0.000    0.363    0.000 api.py:21(_event_key)
    14174    0.261    0.000    0.362    0.000 {built-in method builtins.all}
    14178    0.192    0.000    0.359    0.000 elements.py:861(__init__)
    35509    0.156    0.000    0.353    0.000 session.py:1021(_connection_for_bind)
    21261    0.231    0.000    0.352    0.000 state.py:614(unloaded)
    14207    0.199    0.000    0.350    0.000 registry.py:65(_stored_in_collection)
    35509    0.347    0.000    0.347    0.000 {method 'describe' of '_mysql.result' objects}
   382915    0.287    0.000    0.347    0.000 util.py:306(_include_fn)
    28424    0.324    0.000    0.346    0.000 query.py:4110(__init__)
    42597    0.165    0.000    0.339    0.000 base.py:325(_is_mapped_class)
   894055    0.327    0.000    0.327    0.000 elements.py:3732(_get_table)
    49620    0.192    0.000    0.325    0.000 session.py:37(_state_session)
    14213    0.058    0.000    0.323    0.000 attr.py:250(__call__)
21296/21281    0.064    0.000    0.323    0.000 annotation.py:78(_compiler_dispatch)
    57045    0.215    0.000    0.319    0.000 base.py:74(__init__)
    35602    0.150    0.000    0.314    0.000 elements.py:3954(__new__)
    70968    0.215    0.000    0.313    0.000 __init__.py:1544(isEnabledFor)
       69    0.000    0.000    0.312    0.005 query.py:2795(one)
       69    0.001    0.000    0.312    0.005 query.py:2761(one_or_none)
   361703    0.208    0.000    0.310    0.000 visitors.py:144(_visitor_iterator)
     7087    0.081    0.000    0.309    0.000 contacts.py:89(<lambda>)
    35509    0.177    0.000    0.309    0.000 connections.py:258(cursor)
35466/28367    0.150    0.000    0.304    0.000 elements.py:1816(<listcomp>)
    14176    0.130    0.000    0.302    0.000 attributes.py:991(_initialize_collection)
    63883    0.191    0.000    0.302    0.000 compiler.py:1274(_process_anon)
   113523    0.211    0.000    0.297    0.000 elements.py:2957(_from_objects)
    14207    0.105    0.000    0.297    0.000 schema.py:1513(__init__)
    35435    0.069    0.000    0.296    0.000 encode_id.py:15(__standardise_generate)
    28426    0.069    0.000    0.284    0.000 selectable.py:1952(__init__)
  1283729    0.278    0.000    0.278    0.000 {method 'get' of 'dict' objects}
    21273    0.148    0.000    0.272    0.000 util.py:211(clause_is_present)
     7088    0.055    0.000    0.272    0.000 elements.py:3810(_bind_param)
    63931    0.232    0.000    0.271    0.000 cursors.py:439(fetchall)
    63883    0.195    0.000    0.268    0.000 compiler.py:1920(visit_table)
     7088    0.021    0.000    0.268    0.000 <string>:1(and_)
    85164    0.154    0.000    0.267    0.000 compiler.py:968(_get_operator_dispatch)
    14207    0.079    0.000    0.265    0.000 schema.py:1898(_set_table)
   177375    0.262    0.000    0.262    0.000 path_registry.py:247(__init__)
    28422    0.098    0.000    0.258    0.000 result.py:1068(_fetchall_impl)
